evidence_id,source_id,primary_place_id,topic,normalized_text,text_kind,review_status
EVD_000610,SRC_000227,PLACE_000047,current_address,"Bảo tàng Mỹ thuật Việt Nam có địa chỉ hiện hành là số 66 phố Nguyễn Thái Học, phường Ba Đình, thành phố Hà Nội.",normalized_summary,approved
EVD_000611,SRC_000224,PLACE_000047,classification_and_management,"Bảo tàng Mỹ thuật Việt Nam là bảo tàng mỹ thuật cấp quốc gia, trực thuộc Bộ Văn hóa, Thể thao và Du lịch.",normalized_summary,approved
EVD_000612,SRC_000228,PLACE_000047,establishment,Bảo tàng Mỹ thuật Việt Nam được thành lập và chính thức mở cửa đón khách ngày 24 tháng 6 năm 1966.,normalized_summary,approved
EVD_000613,SRC_000224,PLACE_000047,building_conversion,"Năm 1962, tòa nhà Bảo tàng Mỹ thuật được giao để sửa sang thành nơi sưu tầm, lưu giữ và trưng bày các tác phẩm nghệ thuật Việt Nam.",normalized_summary,approved
EVD_000614,SRC_000224,PLACE_000047,architectural_style,Tòa nhà bảo tàng Mỹ thuật Việt Nam vốn mang kiến trúc châu Âu và sau cải tạo được bổ sung nhiều nét kiến trúc Việt Nam phù hợp công năng bảo tàng mỹ thuật.,normalized_summary,approved
EVD_000615,SRC_000229,PLACE_000047,expansion_1997_1999,"Công trình tòa nhà Bảo tàng Mỹ thuật được mở rộng trong giai đoạn 1997-1999, nâng tổng diện tích lên khoảng 4.737 m².",normalized_summary,approved
EVD_000616,SRC_000228,PLACE_000047,site_and_display_area,"Khuôn viên bảo tàng Mỹ thuật Việt Nam có diện tích khoảng 4.737 m², trong đó diện tích trưng bày trên 3.000 m².",normalized_summary,approved
EVD_000617,SRC_000224,PLACE_000047,primary_site_spaces,"Tòa nhà chính bảo tàng Mỹ thuật Việt Nam thuộc Cơ sở chính bảo tàng Mỹ thuật có hệ thống trưng bày thường xuyên, không gian trưng bày chuyên đề, không gian sáng tạo cho trẻ em và không gian ẩm thực, đồ uống.",normalized_summary,approved
EVD_000618,SRC_000224,PLACE_000047,second_facility,"Cơ sở 2 bảo tàng Mỹ thuật Việt Nam tại Hoàng Cầu - Ô Chợ Dừa phục vụ bảo quản, phục chế tác phẩm và tổ chức hội thảo khoa học.",normalized_summary,approved
EVD_000619,SRC_000224,PLACE_000047,second_facility_components,"Cơ sở 2 bảo tàng Mỹ thuật Việt Nam gồm hệ thống kho lưu giữ hiện vật, thư viện khoa học và trung tâm bảo quản, tu sửa tác phẩm mỹ thuật.",normalized_summary,approved
EVD_000620,SRC_000230,PLACE_000047,collection_and_treasure_count,"Kho sưu tập bảo tàng Mỹ thuật Việt Nam hiện có gần 21.000 hiện vật, tác phẩm nghệ thuật, trong đó có 9 Bảo vật quốc gia.",normalized_summary,approved
EVD_000621,SRC_000225,PLACE_000047,permanent_display_count,"Hệ thống trưng bày thường xuyên bảo tàng Mỹ thuật Việt Nam giới thiệu gần 2.000 hiện vật và tác phẩm tiêu biểu từ thời Tiền sử, Sơ sử đến ngày nay.",normalized_summary,approved
EVD_000622,SRC_000226,PLACE_000047,collection_types,"Bảo tàng Mỹ thuật Việt Nam có các nhóm trưng bày và sưu tập gồm tranh sơn mài, sơn dầu, lụa, tranh dân gian cùng nhiều loại hình mỹ thuật Việt Nam.",normalized_summary,approved
EVD_000623,SRC_000224,PLACE_000047,historical_art_scope,"Các sưu tập phản ánh lịch sử mỹ thuật Việt Nam từ thời Tiền sử, Sơ sử, qua thế kỷ XI-XIX đến mỹ thuật hiện đại và mỹ thuật dân gian.",normalized_summary,approved
EVD_000624,SRC_000227,PLACE_000047,museum_functions,"Các chức năng gồm nghiên cứu, sưu tầm, kiểm kê, lưu giữ, bảo quản, tu sửa, phục chế, trưng bày, triển lãm, giáo dục và truyền thông.",normalized_summary,approved
EVD_000625,SRC_000225,PLACE_000047,education_and_creativity,"Không gian sáng tạo cho trẻ em có hoạt động giáo dục tạo điều kiện học tập, tương tác, trải nghiệm và sáng tạo trong không gian nghệ thuật.",normalized_summary,approved
EVD_000626,SRC_000225,PLACE_000047,permanent_display_use,Không gian trưng bày thường xuyên giới thiệu các hiện vật và tác phẩm nghệ thuật tiêu biểu của mỹ thuật Việt Nam.,normalized_summary,approved
EVD_000627,SRC_000225,PLACE_000047,national_treasures,Trong các tác phẩm tiêu biểu được lưu giữ và tôn vinh có 9 tác phẩm mang danh hiệu Bảo vật quốc gia.,normalized_summary,approved
