edge_id,source_id,relation,target_id,evidence_ids,confidence,valid_from,valid_to,qualifiers_json,review_status
EDGE_001389,PLACE_000043,HAS_ADDRESS,ADDRESS_000033,EVD_000538,1.00,,,{},approved
EDGE_001390,PLACE_000043,LOCATED_IN,ADMIN_000018,EVD_000538,1.00,,,{},approved
EDGE_001391,PLACE_000043,LOCATED_IN,ADMIN_000002,EVD_000538,1.00,,,{},approved
EDGE_001392,PLACE_000043,HAS_CATEGORY,CATEGORY_000010,EVD_000539,1.00,,,{},approved
EDGE_001393,PLACE_000043,RECOGNIZED_AS,HSTATUS_000009,EVD_000545,1.00,,,{},approved
EDGE_001394,PLACE_000043,MANAGED_BY,ORG_000019,EVD_000540,0.98,,,{},approved
EDGE_001395,PLACE_000043,ESTABLISHED_IN,TIME_000017,EVD_000541,1.00,,,{},approved
EDGE_001396,PLACE_000043,HAS_EVENT,EVENT_000066,EVD_000541,1.00,,,{},approved
EDGE_001397,EVENT_000066,OCCURRED_IN,TIME_000017,EVD_000541,1.00,,,{},approved
EDGE_001398,PLACE_000043,HAS_EVENT,EVENT_000067,EVD_000542,1.00,,,{},approved
EDGE_001399,EVENT_000067,OCCURRED_IN,TIME_000137,EVD_000542,1.00,,,{},approved
EDGE_001400,ARCH_000282,BUILT_IN,TIME_000137,EVD_000542,1.00,,,{},approved
EDGE_001401,PLACE_000043,HAS_EVENT,EVENT_000068,EVD_000543,1.00,,,{},approved
EDGE_001402,EVENT_000068,OCCURRED_IN,TIME_000138,EVD_000543,1.00,,,{},approved
EDGE_001403,PLACE_000043,HAS_EVENT,EVENT_000069,EVD_000544,1.00,,,{},approved
EDGE_001404,EVENT_000069,OCCURRED_IN,TIME_000139,EVD_000544,1.00,,,{},approved
EDGE_001405,PLACE_000043,HAS_EVENT,EVENT_000070,EVD_000545,1.00,,,{},approved
EDGE_001406,EVENT_000070,OCCURRED_IN,TIME_000140,EVD_000545,1.00,,,{},approved
EDGE_001407,PLACE_000043,HAS_COMPONENT,ARCH_000282,EVD_000546,1.00,,,{},approved
EDGE_001408,PLACE_000043,HAS_COMPONENT,ARCH_000283,EVD_000548|EVD_000550,1.00,,,{},approved
EDGE_001409,PLACE_000043,HAS_COMPONENT,ARCH_000284,EVD_000548,1.00,,,{},approved
EDGE_001410,PLACE_000043,HAS_COMPONENT,ARCH_000285,EVD_000548,1.00,,,{},approved
EDGE_001411,PLACE_000043,HAS_COMPONENT,ARCH_000286,EVD_000548|EVD_000555,1.00,,,{},approved
EDGE_001412,ARCH_000283,HAS_COMPONENT,HOBJ_000112,EVD_000551,0.98,,,{},approved
EDGE_001413,ARCH_000283,HAS_COMPONENT,HOBJ_000113,EVD_000551,0.98,,,{},approved
EDGE_001414,ARCH_000283,HAS_COMPONENT,HOBJ_000114,EVD_000551,0.98,,,{},approved
EDGE_001415,ARCH_000283,HAS_COMPONENT,HOBJ_000115,EVD_000551,0.98,,,{},approved
EDGE_001416,ARCH_000283,HAS_COMPONENT,HOBJ_000116,EVD_000551,0.98,,,{},approved
EDGE_001417,ARCH_000283,HAS_COMPONENT,HOBJ_000117,EVD_000552,0.98,,,{},approved
EDGE_001418,PLACE_000043,HAS_MEASUREMENT,VALUE_000071,EVD_000547,1.00,,,"{""measurement_kind"":""land_area""}",approved
EDGE_001419,ARCH_000282,HAS_MEASUREMENT,VALUE_000072,EVD_000546,1.00,,,"{""measurement_kind"":""total_floor_count""}",approved
EDGE_001420,ARCH_000282,HAS_MEASUREMENT,VALUE_000073,EVD_000546,1.00,,,"{""measurement_kind"":""above_ground_floor_count""}",approved
EDGE_001421,ARCH_000282,HAS_MEASUREMENT,VALUE_000074,EVD_000546,1.00,,,"{""measurement_kind"":""basement_floor_count""}",approved
EDGE_001422,PLACE_000043,HAS_MEASUREMENT,VALUE_000075,EVD_000549,0.99,,,"{""measurement_kind"":""collection_count""}",approved
EDGE_001423,PLACE_000043,HAS_MEASUREMENT,VALUE_000076,EVD_000549|EVD_000551|EVD_000552,1.00,,,"{""measurement_kind"":""national_treasure_group_count""}",approved
EDGE_001424,ARCH_000283,HAS_MEASUREMENT,VALUE_000077,EVD_000550,1.00,,,"{""measurement_kind"":""exhibition_theme_count""}",approved
EDGE_001425,PLACE_000043,HAS_ACTIVITY,ACTIVITY_000005,EVD_000553,1.00,,,{},approved
EDGE_001426,PLACE_000043,HAS_ACTIVITY,ACTIVITY_000010,EVD_000554,1.00,,,{},approved
EDGE_001427,PLACE_000043,HAS_ACTIVITY,ACTIVITY_000050,EVD_000555,1.00,,,{},approved
EDGE_001428,PLACE_000043,HAS_ACTIVITY,ACTIVITY_000051,EVD_000556,1.00,,,{},approved
EDGE_001429,ARCH_000283,USED_FOR,ACTIVITY_000005,EVD_000553,1.00,,,{},approved
EDGE_001430,ARCH_000285,USED_FOR,ACTIVITY_000010,EVD_000553|EVD_000554,0.95,,,{},approved
EDGE_001431,ARCH_000286,USED_FOR,ACTIVITY_000050,EVD_000555,1.00,,,{},approved
