edge_id,source_id,relation,target_id,evidence_ids,confidence,valid_from,valid_to,qualifiers_json,review_status
EDGE_001892,PLACE_000059,HAS_ADDRESS,ADDRESS_000044,EVD_000754,0.98,,,{},approved
EDGE_001893,PLACE_000059,BUILT_IN,TIME_000180,EVD_000755,0.98,,,"{""construction_phase"":""start""}",approved
EDGE_001894,PLACE_000059,BUILT_BY,ORG_000033,EVD_000755,0.97,,,{},approved
EDGE_001895,PLACE_000059,ESTABLISHED_IN,TIME_000181,EVD_000766,0.95,,,"{""establishment_basis"":""official_opening""}",approved
EDGE_001896,PLACE_000059,HAS_CATEGORY,CATEGORY_000020,EVD_000760,0.98,,,{},approved
EDGE_001897,PLACE_000059,HAS_CATEGORY,CATEGORY_000021,EVD_000760,0.97,,,{},approved
EDGE_001898,PLACE_000059,HAS_MEASUREMENT,VALUE_000119,EVD_000756,1.00,,,"{""measurement_kind"":""area""}",approved
EDGE_001899,PLACE_000059,HAS_MEASUREMENT,VALUE_000120,EVD_000756,1.00,,,"{""measurement_kind"":""area"",""scope"":""green_and_water_area""}",approved
EDGE_001900,PLACE_000060,HAS_MEASUREMENT,VALUE_000121,EVD_000757,1.00,,,"{""measurement_kind"":""count""}",approved
EDGE_001901,PLACE_000059,HAS_COMPONENT,PLACE_000060,EVD_000757,1.00,,,{},approved
EDGE_001902,PLACE_000059,HAS_COMPONENT,ARCH_000351,EVD_000758,0.98,,,{},approved
EDGE_001903,PLACE_000059,HAS_COMPONENT,ARCH_000352,EVD_000759,0.96,,,{},approved
EDGE_001904,PLACE_000059,HAS_COMPONENT,ARCH_000353,EVD_000758,0.98,,,{},approved
EDGE_001905,PLACE_000059,HAS_COMPONENT,ARCH_000354,EVD_000758,0.98,,,{},approved
EDGE_001906,PLACE_000059,HAS_COMPONENT,ARCH_000355,EVD_000758,0.98,,,{},approved
EDGE_001907,PLACE_000059,HAS_COMPONENT,ARCH_000356,EVD_000759,0.97,,,{},approved
EDGE_001908,PLACE_000059,HAS_COMPONENT,ARCH_000357,EVD_000759,0.97,,,{},approved
EDGE_001909,PLACE_000059,HAS_COMPONENT,ARCH_000358,EVD_000765|EVD_000770,0.96,,,{},approved
EDGE_001910,PLACE_000059,HAS_COMPONENT,ARCH_000359,EVD_000765|EVD_000770,0.98,,,{},approved
EDGE_001911,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000074,EVD_000761,0.96,,,{},approved
EDGE_001912,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000075,EVD_000762,0.95,,,{},approved
EDGE_001913,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000068,EVD_000763,0.98,,,{},approved
EDGE_001914,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000076,EVD_000764,0.98,,,{},approved
EDGE_001915,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000071,EVD_000765,0.96,,,{},approved
EDGE_001916,PLACE_000059,HAS_ACTIVITY,ACTIVITY_000077,EVD_000765,0.98,,,{},approved
EDGE_001917,ARCH_000351,USED_FOR,ACTIVITY_000074,EVD_000761,0.98,,,{},approved
EDGE_001918,ARCH_000353,USED_FOR,ACTIVITY_000075,EVD_000762,0.98,,,{},approved
EDGE_001919,ARCH_000356,USED_FOR,ACTIVITY_000068,EVD_000763,0.99,,,{},approved
EDGE_001920,ARCH_000357,USED_FOR,ACTIVITY_000076,EVD_000764,0.99,,,{},approved
EDGE_001921,ARCH_000358,USED_FOR,ACTIVITY_000071,EVD_000765,0.98,,,{},approved
EDGE_001922,ARCH_000359,USED_FOR,ACTIVITY_000077,EVD_000765,0.98,,,{},approved
EDGE_001923,PLACE_000059,HAS_EVENT,EVENT_000113,EVD_000766,1.00,,,{},approved
EDGE_001924,EVENT_000113,OCCURRED_IN,TIME_000181,EVD_000766,1.00,,,{},approved
EDGE_001925,EVENT_000113,INVOLVED_PERSON,PERSON_000082,EVD_000767,1.00,,,{},approved
EDGE_001926,EVENT_000113,INVOLVED_PERSON,PERSON_000083,EVD_000767,1.00,,,{},approved
EDGE_001927,PERSON_000082,HELD_ROLE,ROLE_000012,EVD_000767,1.00,,,{},approved
EDGE_001928,PERSON_000083,HELD_ROLE,ROLE_000013,EVD_000767,1.00,,,{},approved
EDGE_001929,PLACE_000059,ASSOCIATED_WITH_PERSON,PERSON_000084,EVD_000768,0.98,,,{},approved
EDGE_001930,PERSON_000084,HELD_ROLE,ROLE_000014,EVD_000768,1.00,,,{},approved
EDGE_001931,PLACE_000059,HAS_EVENT,EVENT_000114,EVD_000769|EVD_000770,1.00,,,{},approved
EDGE_001932,EVENT_000114,OCCURRED_IN,TIME_000182,EVD_000769,1.00,,,{},approved
EDGE_001933,EVENT_000114,INVOLVED_PERSON,PERSON_000085,EVD_000771,0.98,,,{},approved
EDGE_001934,PLACE_000059,ASSOCIATED_WITH_PERSON,PERSON_000085,EVD_000771,0.96,,,{},approved
EDGE_001935,PERSON_000085,HELD_ROLE,ROLE_000015,EVD_000771,1.00,,,{},approved
EDGE_001936,PLACE_000059,RENOVATED_IN,TIME_000183,EVD_000770,1.00,,,{},approved
EDGE_001937,PLACE_000059,RENOVATED_BY,ORG_000034,EVD_000770,1.00,,,{},approved
EDGE_001938,PLACE_000059,MANAGED_BY,ORG_000034,EVD_000769,1.00,,,{},approved
