source_id,title,url,source_type,retrieved_at,license_note,review_status
SRC_000013,Chức năng nhiệm vụ của Trung tâm Bảo tồn Di sản Thăng Long – Hà Nội,https://hoangthanhthanglong.vn/chuc-nang-nhiem-vu/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000027,"Di tích lịch sử, kiến trúc nghệ thuật và khảo cổ Cổ Loa",https://dsvh.gov.vn/di-tich-lich-su-kien-truc-nghe-thuat-va-khao-co-co-loa-2958,national_cultural_heritage_portal,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000028,Khu Di tích Cổ Loa,https://donganh.hanoi.gov.vn/di-tich-lich-su-va-van-hoa/khu-di-tich-co-loa-28342506231105416.htm,municipal_government_portal,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000029,Thành Cổ Loa - Các điểm tham quan tiêu biểu,https://thanhcoloa.vn/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000031,Đình Cổ Loa (Đình Ngự Triều Di Quy),https://thanhcoloa.vn/dinh-co-loa-dinh-ngu-trieu-di-quy,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000032,Am Mỵ Châu,https://thanhcoloa.vn/am-my-chau,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000033,Mũi tên đồng thành Cổ Loa,https://thanhcoloa.vn/mui-ten-dong-thanh-co-loa,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000034,Trống đồng Cổ Loa,https://thanhcoloa.vn/trong-dong-co-loa,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000035,Lò đúc mũi tên đồng,https://thanhcoloa.vn/phat-hien-khu-lo-duc-mui-ten-dong-trong-thanh-co-loa,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000036,Sưu tập khuôn đúc Cổ Loa,https://thanhcoloa.vn/suu-tap-khuon-duc-co-loa,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000037,Danh mục Di tích quốc gia đặc biệt,https://dsvh.gov.vn/danh-muc-di-tich-quoc-gia-dac-biet-1752,national_cultural_heritage_portal,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000125,Trưng bày online Khu di tích Thành Cổ Loa,https://trungbayonline.thanhcoloa.vn/,official_monument_portal,2026-09-05,"Bản quyền thuộc nguồn; chỉ lưu tóm tắt chuẩn hóa ngắn và URL, không lưu toàn văn.",approved
