edge_id,source_id,relation,target_id,evidence_ids,confidence,valid_from,valid_to,qualifiers_json,review_status
EDGE_000884,PLACE_000023,HAS_ADDRESS,ADDRESS_000022,EVD_000376,1.00,,,{},approved
EDGE_000885,PLACE_000023,LOCATED_IN,ADMIN_000006,EVD_000376,1.00,,,{},approved
EDGE_000886,PLACE_000023,LOCATED_IN,LOCATION_000022,EVD_000377,1.00,,,{},approved
EDGE_000887,PLACE_000023,LOCATED_IN,LOCATION_000023,EVD_000377,1.00,,,{},approved
EDGE_000888,PLACE_000023,HAS_CATEGORY,CATEGORY_000001,EVD_000386,1.00,,,{},approved
EDGE_000889,PLACE_000023,HAS_CATEGORY,CATEGORY_000005,EVD_000377,0.95,,,{},approved
EDGE_000890,PLACE_000023,HAS_COMPONENT,ARCH_000187,EVD_000381,1.00,,,{},approved
EDGE_000891,PLACE_000023,HAS_COMPONENT,ARCH_000188,EVD_000381,1.00,,,{},approved
EDGE_000892,PLACE_000023,HAS_COMPONENT,ARCH_000189,EVD_000381,1.00,,,{},approved
EDGE_000893,PLACE_000023,HAS_COMPONENT,ARCH_000190,EVD_000381,1.00,,,{},approved
EDGE_000894,PLACE_000023,HAS_COMPONENT,ARCH_000191,EVD_000381,1.00,,,{},approved
EDGE_000895,PLACE_000023,HAS_COMPONENT,ARCH_000192,EVD_000383,1.00,,,{},approved
EDGE_000896,PLACE_000023,HAS_COMPONENT,HOBJ_000069,EVD_000382,1.00,,,{},approved
EDGE_000897,PLACE_000023,HAS_COMPONENT,HOBJ_000070,EVD_000382,1.00,,,{},approved
EDGE_000898,PLACE_000023,HAS_COMPONENT,HOBJ_000071,EVD_000382,1.00,,,{},approved
EDGE_000899,PLACE_000023,HAS_COMPONENT,HOBJ_000072,EVD_000382,1.00,,,{},approved
EDGE_000900,PLACE_000023,HAS_ARCHITECTURAL_STYLE,ASTYLE_000002,EVD_000381,1.00,,,{},approved
EDGE_000901,PLACE_000023,HAS_ARCHITECTURAL_STYLE,ASTYLE_000010,EVD_000381,1.00,,,{},approved
EDGE_000902,PLACE_000023,HONORS,PERSON_000050,EVD_000389,1.00,,,{},approved
EDGE_000903,PLACE_000023,ESTABLISHED_BY,PERSON_000051,EVD_000379,0.90,,,"{""claim_kind"":""historical_tradition""}",approved
EDGE_000904,PLACE_000023,ESTABLISHED_IN,TIME_000094,EVD_000378,1.00,,,{},approved
EDGE_000905,PLACE_000023,ASSOCIATED_WITH_DYNASTY,DYNASTY_000009,EVD_000378,1.00,,,{},approved
EDGE_000906,PLACE_000023,RENOVATED_BY,PERSON_000001,EVD_000380,0.95,,,{},approved
EDGE_000907,PLACE_000023,RENOVATED_IN,TIME_000002,EVD_000380,1.00,,,{},approved
EDGE_000908,PLACE_000023,RECOGNIZED_AS,HSTATUS_000003,EVD_000386,1.00,,,{},approved
EDGE_000909,PLACE_000023,RECOGNIZED_IN,TIME_000082,EVD_000386,1.00,,,{},approved
EDGE_000910,PLACE_000023,RECOGNIZED_BY,ORG_000012,EVD_000386,1.00,,,{},approved
EDGE_000911,PLACE_000023,HAS_EVENT,EVENT_000041,EVD_000378,1.00,,,{},approved
EDGE_000912,EVENT_000041,OCCURRED_IN,TIME_000094,EVD_000378,1.00,,,{},approved
EDGE_000913,EVENT_000041,INVOLVED_PERSON,PERSON_000051,EVD_000379,0.90,,,"{""claim_kind"":""historical_tradition""}",approved
EDGE_000914,PLACE_000023,HAS_EVENT,EVENT_000042,EVD_000380,1.00,,,{},approved
EDGE_000915,EVENT_000042,OCCURRED_IN,TIME_000002,EVD_000380,1.00,,,{},approved
EDGE_000916,EVENT_000042,INVOLVED_PERSON,PERSON_000001,EVD_000380,1.00,,,{},approved
EDGE_000917,PLACE_000023,HAS_EVENT,EVENT_000043,EVD_000384,0.90,,,{},approved
EDGE_000918,EVENT_000043,OCCURRED_IN,TIME_000095,EVD_000384,0.90,,,{},approved
EDGE_000919,PLACE_000023,HAS_EVENT,EVENT_000044,EVD_000385,1.00,,,{},approved
EDGE_000920,EVENT_000044,OCCURRED_IN,TIME_000096,EVD_000385,1.00,,,{},approved
EDGE_000921,PLACE_000023,RENOVATED_BY,ORG_000011,EVD_000385,1.00,,,{},approved
EDGE_000922,PLACE_000023,HAS_EVENT,EVENT_000045,EVD_000387|EVD_000388,1.00,,,{},approved
EDGE_000923,EVENT_000045,OCCURRED_IN,TIME_000097,EVD_000387,1.00,,,{},approved
EDGE_000924,PLACE_000023,HAS_ACTIVITY,ACTIVITY_000025,EVD_000388,1.00,,,{},approved
