source_id,title,url,source_type,retrieved_at,license_note,review_status
SRC_000163,Giới thiệu chung về xã Hương Sơn - Thành phố Hà Nội,https://huongson.hanoi.gov.vn/gioi-thieu-chung/gioi-thieu-chung-ve-xa-huong-son-thanh-pho-ha-noi-2711250702095532416.htm,local_government_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000164,"Ứng dụng công nghệ để Lễ hội Chùa Hương ngày càng an toàn, văn minh và hiện đại",https://thanglong.baochinhphu.vn/ung-dung-cong-nghe-de-le-hoi-chua-huong-ngay-cang-an-toan-van-minh-10324120923332171.htm,government_news_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000165,Danh thắng Hương Sơn đón Bằng Di tích Quốc gia đặc biệt,https://baochinhphu.vn/danh-thang-huong-son-don-bang-di-tich-quoc-gia-dac-biet-102245009.htm,government_news_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000166,Thủ tướng Chính phủ ký Quyết định xếp hạng di tích quốc gia đặc biệt năm 2017,https://dsvh.gov.vn/thu-tuong-chinh-phu-ky-quyet-dinh-xep-hang-di-tich-quoc-gia-dac-biet-nam-2017-1487,national_cultural_heritage_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000167,Lễ hội Chùa Hương – Hành trình về cõi Phật,https://baotanglichsu.vn/VI/Articles/3096/17761/le-hoi-chua-huong-hanh-trinh-ve-coi-phat.html,national_history_museum,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000168,Giới thiệu sơ lược quần thể DLTC Chùa Hương,https://chuahuong.org.vn/hanh-huong-thanh-tich/gioi-thieu-quan-the-chua-huong/,official_religious_site,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000169,Gắn giá trị di sản với phát triển du lịch,https://sovhtt.hanoi.gov.vn/gan-gia-tri-di-san-voi-phat-trien-du-lich/,municipal_culture_department_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000170,"Phê duyệt nhiệm vụ lập Quy hoạch tu bổ, phục hồi Di tích Chùa Hương",https://baochinhphu.vn/phe-duyet-nhiem-vu-lap-quy-hoach-tu-bo-phuc-hoi-di-tich-chua-huong-10223041316491848.htm,government_news_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000171,"Camera AI sẽ lắp đặt tại Chùa Hương để giám sát an ninh trật tự, văn minh lễ hội",https://baochinhphu.vn/camera-ai-se-lap-dat-tai-chua-huong-de-giam-sat-an-ninh-trat-tu-van-minh-le-hoi-102260116141114846.htm,government_news_portal,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000172,Bác Hồ nói về di sản văn hóa,https://baotanglichsu.vn/VI/Articles/3091/5342/bac-ho-noi-ve-di-san-van-hoa.html,national_history_museum,2026-09-09,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
