source_id,title,url,source_type,retrieved_at,license_note,review_status
SRC_000001,Tham quan Hoàng thành Thăng Long - Điểm mốc lịch sử tại Hà Nội,https://vinpearl.com/vi/hoang-thanh-thang-long-ha-noi,commercial_travel_guide,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000002,Hoàng thành Thăng Long: Di sản Văn hóa Thế giới giữa lòng thủ đô,https://www.vietnamairlines.com/be/vi/plan-book/travel/travel-guide/hoang-thanh-thang-long,commercial_travel_guide,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000003,Hoàng Thành Thăng Long: Di sản văn hóa chờ phát huy,https://vietnamtourism.gov.vn/post/10166,government_tourism_portal,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000004,Khu di tích trung tâm Hoàng thành Thăng Long,https://hoangthanhthanglong.vn/khu-di-tich-trung-tam-hoang-thanh-thang-long/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000005,Central Sector of the Imperial Citadel of Thang Long - Hanoi,https://whc.unesco.org/en/list/1328/,official_intergovernmental,2026-09-03,Phần mô tả của UNESCO được công bố theo CC-BY-SA IGO 3.0,approved
SRC_000006,Điện Kính Thiên – Trái tim của Hoàng thành Thăng Long,https://hoangthanhthanglong.vn/dien-kinh-thien/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000007,Trưng bày online Lam Kinh - Đông Kinh thời Lê,https://trungbayonline.hoangthanhthanglong.vn/LamKinh,official_heritage_exhibition,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000008,Lầu Tĩnh Bắc: một kiến trúc Đạo Giáo quan trọng của vương triều Nguyễn,https://hoangthanhthanglong.vn/lau-tinh-bac-hau-lau/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000009,Tầng văn hóa thời Tiền Thăng Long,https://hoangthanhthanglong.vn/tang-van-hoa-thoi-tien-thang-long/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000010,Tầng văn hóa Lý – Trần trong khu khảo cổ 18 Hoàng Diệu,https://hoangthanhthanglong.vn/tang-van-hoa-ly-tran-trong-khu-khao-co-18-hoang-dieu/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000011,Tầng văn hóa thời Lê trong khu khảo cổ 18 Hoàng Diệu,https://hoangthanhthanglong.vn/tang-van-hoa-thoi-le-trong-khu-khao-co-18-hoang-dieu/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000012,Di tích lịch sử cách mạng Nhà D67 trên trục chính tâm của Hoàng thành,https://hoangthanhthanglong.vn/di-tich-lich-su-cach-mang-nha-d67-tren-truc-chinh-tam-cua-hoang-thanh/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000013,Chức năng nhiệm vụ của Trung tâm Bảo tồn Di sản Thăng Long – Hà Nội,https://hoangthanhthanglong.vn/chuc-nang-nhiem-vu/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000014,Giáo dục di sản ở Hoàng thành Thăng Long,https://hoangthanhthanglong.vn/giao-duc-di-san-o-hoang-thanh-thang-long-dua-khach-nhi-tiep-can-di-san/,official_heritage_site,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
SRC_000015,Tour đêm – Giải mã Hoàng thành Thăng Long,https://hoangthanhthanglong.vn/tour-dem-giai-ma-hoang-thanh-thang-long-2/,official_heritage_site,2026-09-03,Lịch và giá có thể thay đổi; chỉ dùng bằng chứng về loại hoạt động,approved
SRC_000016,Di tích lịch sử và khảo cổ Khu Trung tâm Hoàng thành Thăng Long – Hà Nội,https://sovhtt.hanoi.gov.vn/di-tich-lich-su-va-khao-co-khu-trung-tam-hoang-thanh-thang-long-ha-noi/,municipal_government_portal,2026-09-03,Bản quyền thuộc nguồn; chỉ lưu bản tóm tắt chuẩn hóa và URL nguồn,approved
